"","HBW_names","Tree_names","HBW_species_common_name","HBW_family","HBW_family_common_name","Data_source","Literature_Museum","Outer_volume..cm3","Inner_volume..cm3","Outer_volume_full..cm3","External_diameter..cm","Thickness..cm","External_height..cm","Internal_diameter..cm","Internal_height..cm","Body_mass..g","Migration_status","Migration_coded","Clutch_size","Nestling_period..days","Nest_builder_identity","Loc_vegetation","Loc_ground","Loc_rock","Loc_cavity_obligatory","Mean_nest_height..m","Range_midpoint_latitude","N_S","Insularity","Insularity_2","Mean_temperature","Mean_rainfall"
"19","Acrocephalus_melanopogon","Acrocephalus_melanopogon","Moustached Warbler","Acrocephalidae","Reed-warblers","BWP","L","192.57","49.54","242.11","8.5","2.08","6.4","4.3499999999999996","5",10.9,"Full Migrant",1,4,"12","Female",1,0,0,0,"0.8",42.47,"N",0,0,14.94,27.22
"20","Acrocephalus_melanopogon","Acrocephalus_melanopogon","Moustached Warbler","Acrocephalidae","Reed-warblers","Tring","M","355.46","48.3","403.77","8.5","2.19","10.68","4.1100000000000003","5.46",10.9,"Full Migrant",1,4,"12","Female",1,0,0,0,"0.8",42.47,"N",0,0,14.94,27.22
"21","Acrocephalus_mendanae","Acrocephalus_mendanae","Southern Marquesan Reed-warbler","Acrocephalidae","Reed-warblers","HBW","L","462.36","82.02","544.38","11.4","2.75","8","5.9","4.5",31.21,"Not a Migrant",0,3.5,"NA","NA",1,0,0,0,"13.25",-10.13,"S",1,1,25.34,133.96
"22","Acrocephalus_paludicola","Acrocephalus_paludicola","Aquatic Warbler","Acrocephalidae","Reed-warblers","BWP","L","146.53","64.709999999999994","211.24","8.1999999999999993","1.45","6","5.3","4.4000000000000004",11.6,"Full Migrant",1,5,"14.5","Excl_Female Care",1,0,0,0,"0.17",51.94,"N",0,0,9.57,49.34
"23","Acrocephalus_palustris","Acrocephalus_palustris","Marsh Warbler","Acrocephalidae","Reed-warblers","HBW","L","280.73","67.66","348.38","8.9","1.8","8.4","5.3","4.5999999999999996",11.5,"Full Migrant",1,4.5,"11","Mainly Female",1,0,0,0,"1.1000000000000001",52.78,"N",0,0,8.99,49.29
"24","Acrocephalus_rodericanus","Acrocephalus_rodericanus","Rodrigues Warbler","Acrocephalidae","Reed-warblers","Tring","M","191.02","36.619999999999997","227.65","8.8000000000000007","2.21","5.49","4.38","3.65",11.8,"Not a Migrant",0,2.5,"14","NA",1,0,0,0,"4.75",-19.75,"S",1,1,23.95,93.75
"25","Acrocephalus_schoenobaenus","Acrocephalus_schoenobaenus","Sedge Warbler","Acrocephalidae","Reed-warblers","BWP","L","NA","58.9","NA","10.75","2.88","NA","5","4.5",11.83,"Full Migrant",1,5.5,"11.5","Female",1,0,0,0,"0.4",58.41,"N",0,0,5.88,41.13
"26","Acrocephalus_schoenobaenus","Acrocephalus_schoenobaenus","Sedge Warbler","Acrocephalidae","Reed-warblers","Tring","M","385.92","63.63","449.54","10.61","2.7","7.83","5.22","4.46",11.83,"Full Migrant",1,5.5,"11.5","Female",1,0,0,0,"0.4",58.41,"N",0,0,5.88,41.13
"27","Acrocephalus_scirpaceus","Acrocephalus_scirpaceus","Common Reed-warbler","Acrocephalidae","Reed-warblers","HBW","L","158.47","65.37","223.84","7.5","1.2","7.6","5.0999999999999996","4.8",12.3,"Full Migrant",1,4,"11","Mainly Female",1,0,0,0,"1.08",49.36,"N",0,0,14.08,45.77
"28","Acrocephalus_scirpaceus","Acrocephalus_scirpaceus","Common Reed-warbler","Acrocephalidae","Reed-warblers","BWP","L","206.84","63.94","270.77","7.8","1.5","8.5","4.8","5.3",12.3,"Full Migrant",1,4,"11","Mainly Female",1,0,0,0,"1.08",49.36,"N",0,0,14.08,45.77
"29","Acrocephalus_stentoreus","Acrocephalus_stentoreus","Clamorous Reed-warbler","Acrocephalidae","Reed-warblers","HBW","L","938.34","102.07","1040.4100000000001","11.25","2.78","15.7","5.7","6",24.2,"Full Migrant",1,4.5,"12","Mainly Female",1,0,0,0,"1.05",39.25,"N",0,0,18.25,58.57
"30","Acrocephalus_stentoreus","Acrocephalus_stentoreus","Clamorous Reed-warbler","Acrocephalidae","Reed-warblers","BWP","L","744.47","112.09","856.57","11.85","2.98","11.65","5.9","6.15",24.2,"Full Migrant",1,4.5,"12","Mainly Female",1,0,0,0,"1.05",39.25,"N",0,0,18.25,58.57
"31","Acrocephalus_taiti","Acrocephalus_taiti","Henderson Reed-warbler","Acrocephalidae","Reed-warblers","HBW","L","803.44","94.78","898.22","11.4","2.75","13.2","5.9","5.2",24.25,"Not a Migrant",0,2.5,"NA","NA",1,0,0,0,"4.3499999999999996",-24.25,"S",1,1,22.41,125.88
"32","Acrocephalus_vaughani","Acrocephalus_vaughani","Pitcairn Reed-warbler","Acrocephalidae","Reed-warblers","HBW","L","452.65","141.11000000000001","593.76","9","1","14","7","5.5",24.37,"Not a Migrant",0,2,"14","NA",1,0,0,0,"6.25",-25.25,"S",1,1,21.78,132.25
"33","Actinodura_egertoni","Actinodura_egertoni","Rusty-fronted Barwing","Leiotrichidae","Laughingthrushes and allies","Tring","M","381.28","90.63","471.91","11.45","2.58","6.72","6.3","4.32",36,"Not a Migrant",0,3,"NA","NA",1,0,0,0,"4.25",24.45,"N",0,0,18.5,184.7
"34","Aegithina_tiphia","Aegithina_tiphia","Common Iora","Aegithinidae","Ioras","Tring","M","70.73","35.950000000000003","106.69","5.51","0.5","6.72","4.5","3.39",12,"Not a Migrant",0,2,"NA","NA",1,0,0,0,"5.5",20,"N",0,0,25.08,148.69
"35","Agelaius_assimilis","Agelaius_assimilis","Red-shouldered Blackbird","Icteridae","New World blackbirds","HBW","L","NA","NA","NA","9.5","NA","NA","NA","5.8",47.68,"Not a Migrant",0,2.5,"NA","Female",1,0,0,0,"NA",22.25,"N",1,0,25.64,101.22
"36","Agelaius_phoeniceus","Agelaius_phoeniceus","Red-winged Blackbird","Icteridae","New World blackbirds","Tring","M","567.04","150.53","717.57","12.39","2.76","8.93","6.87","6.1",50.78,"Not a Migrant",0,3.25,"11","Female",1,1,0,0,"1.5",47.92,"N",0,0,9.08,60.42
"37","Agelaius_phoeniceus","Agelaius_phoeniceus","Red-winged Blackbird","Icteridae","New World blackbirds","BNA","L","652.79","214.73","867.52","11.9","2.15","11.7","7.6","7.1",50.78,"Not a Migrant",0,3.25,"11","Female",1,1,0,0,"1.5",47.92,"N",0,0,9.08,60.42
"38","Agelaius_phoeniceus","Agelaius_phoeniceus","Red-winged Blackbird","Icteridae","New World blackbirds","BNA","L","681.4","191.44","872.84","12.2","2.35","11.2","7.5","6.5",50.78,"Not a Migrant",0,3.25,"11","Female",1,1,0,0,"1.5",47.92,"N",0,0,9.08,60.42
"39","Agelaius_tricolor","Agelaius_tricolor","Tricolored Blackbird","Icteridae","New World blackbirds","BNA","L","1273.3800000000001","229.85","1503.23","12.7","2.5499999999999998","17.8","7.6","7.6",57.92,"Not a Migrant",0,4,"12.5","Female",1,1,0,0,"1.5",36.99,"N",0,0,15.58,29.29
