"","PC1","PC2","PC3","PC4","PC5","PC6","Variable"
"Outer_volume..cm3",0.109544022313567,-0.729609116654504,-0.311410679440974,-0.598613213835194,-0.0186538180824705,0.00287890481886097,"Outer_volume..cm3"
"Mean_temperature",-0.542582071204834,-0.0200484697115662,-0.403192168602737,0.141855022724635,-0.113203292150554,0.713933468343367,"Mean_temperature"
"Mean_rainfall",-0.470197469677519,-0.184981285337895,0.321191979548739,-0.0527530502439433,0.797998362479295,-0.0441328112347751,"Mean_rainfall"
"Range_midpoint_latitude",0.539694195308019,0.05950784826313,0.384200584743797,-0.176644891744988,0.203982290511696,0.696251900971516,"Range_midpoint_latitude"
"Insularity",-0.352107064258801,-0.265192734450116,0.699425304999226,-0.0875773100959705,-0.553505874385976,0.0495896501019045,"Insularity"
"Loc_rock",0.239311373614322,-0.599318070327903,0.0221207954278233,0.761500679852888,0.0453666769270588,0.0334240430691951,"Loc_rock"
