"","Outer_volume..cm3","Mean_temperature","Mean_rainfall","Range_midpoint_latitude","Insularity","Loc_rock","HBW_names"
"136",955.7,-0.8,33.02,62.48,0,0,"Bombycilla_garrulus"
"138",127.04,23.52,12.1,27.46,0,1,"Bucanetes_githagineus"
"139",245.96,23.52,12.1,27.46,0,1,"Bucanetes_githagineus"
"140",317.46,9,21.91,42.2,0,1,"Bucanetes_mongolicus"
"142",243.01,10.76,52.13,44.31,0,0,"Calamospiza_melanocorys"
"147",912.5,-10.21,21.48,69.96,0,0,"Calcarius_lapponicus"
"153",193.24,-7.07,21.44,66.37,0,0,"Calcarius_pictus"
"154",113.19,-7.07,21.44,66.37,0,0,"Calcarius_pictus"
"155",64.96,18.99,57.1,-30.65,0,0,"Caligavis_chrysops"
"157",465.65,4.51,63.31,48.49,0,1,"Cardellina_canadensis"
"159",184.27,0.47,45.37,58.92,0,0,"Cardellina_pusilla"
"160",328.83,0.47,45.37,58.92,0,0,"Cardellina_pusilla"
"161",241.88,0.47,45.37,58.92,0,0,"Cardellina_pusilla"
"163",199.72,16.53,20.71,29.77,0,0,"Cardellina_rubrifrons"
"164",910.44,16.54,79.14,35.92,0,0,"Cardinalis_cardinalis"
"167",217.95,20.6,27.59,28.53,0,0,"Cardinalis_sinuatus"
"168",207.79,20.6,27.59,28.53,0,0,"Cardinalis_sinuatus"
"169",164.86,9.17,47.66,51.9,0,0,"Carduelis_carduelis"
"170",111.28,9.17,47.66,51.9,0,0,"Carduelis_carduelis"
"171",177.21,6.7,94.63,46.52,0,0,"Carduelis_citrinella"
"172",728.78,2.02,36.85,57.62,0,0,"Carpodacus_erythrinus"
"173",1443.23,0.99,36.87,34.66,0,1,"Carpodacus_rubicilla"
"177",425.42,3.99,92.84,48.75,0,0,"Catharus_bicknelli"
"178",543.62,3.99,92.84,48.75,0,0,"Catharus_bicknelli"
"179",688.86,6.28,63.89,47.53,0,0,"Catharus_fuscescens"
"180",432.23,3.83,51.11,53.11,0,0,"Catharus_guttatus"
"182",530.27,-3.61,30.13,63.98,0,0,"Catharus_minimus"
"184",393.6,6.57,99.98,51.56,0,0,"Catharus_ustulatus"
"185",410.79,6.57,99.98,51.56,0,0,"Catharus_ustulatus"
"196",263.78,23.88,21.06,-26.72,0,0,"Certhionyx_variegatus"
"197",324.43,12.47,41.8,38.37,0,0,"Cettia_cetti"
"198",292.21,12.47,41.8,38.37,0,0,"Cettia_cetti"
"199",184.13,13.74,54.39,38.24,0,0,"Chamaea_fasciata"
"200",55.88,23.84,109.34,-13.57,0,0,"Charitospiza_eucosma"
"201",152.53,16.64,164.81,19.75,1,0,"Chasiempis_sandwichensis"
"202",218.03,16.64,164.81,19.75,1,0,"Chasiempis_sandwichensis"
"203",266.37,16.64,164.81,19.75,1,0,"Chasiempis_sandwichensis"
"206",513.13,9.21,51.58,53.16,0,0,"Chloris_chloris"
"207",427.24,9.21,51.58,53.16,0,0,"Chloris_chloris"
"211",146.44,22.08,75.84,-14.11,0,0,"Chlorocichla_flaviventris"
"213",349.73,21.14,129.53,22.25,1,0,"Chlorodrepanis_stejnegeri"
"214",308.13,18.64,145.41,19.75,1,0,"Chlorodrepanis_virens"
"215",141.37,25.23,186.21,-4.33,0,0,"Chlorophanes_spiza"
"222",226.02,24.32,109.12,22.52,0,0,"Chrysomma_sinense"
"226",602.32,23.59,238.74,-7.85,1,0,"Cicinnurus_magnificus"
"235",648.39,7.09,46.44,52.76,0,0,"Coccothraustes_coccothraustes"
"236",893.12,23.15,38.75,-26.4,0,0,"Colluricincla_harmonica"
"237",511.64,24.14,195.45,-5.71,0,0,"Colluricincla_megarhyncha"
"247",125.73,25.75,62.14,-17.99,0,0,"Conopophila_rufogularis"
"253",208.66,8.12,44.21,49.43,0,0,"Contopus_sordidulus"
"254",99.08,12.83,92.66,40.83,0,0,"Contopus_virens"
"256",2569.58,16.99,48.31,-30.68,0,0,"Corcorax_melanoramphos"
"257",429.47,26.91,79.93,10.48,0,0,"Corvinella_corvina"
"259",13060.87,4.11,116.77,53.84,0,0,"Corvus_caurinus"
"260",110654.77,1.6,33.77,57.52,0,1,"Corvus_corax"
"261",192517.91,1.6,33.77,57.52,0,1,"Corvus_corax"
"262",35744.95,4.58,37.1,56.72,0,1,"Corvus_corone"
"266",34985.95,19.52,30.63,29.82,0,0,"Corvus_cryptoleucus"
"267",15873.81,6.89,39.57,52.8,0,0,"Corvus_frugilegus"
"268",26119.2,6.89,39.57,52.8,0,0,"Corvus_frugilegus"
"272",18220.26,18.51,112.31,33.67,0,0,"Corvus_ossifragus"
"273",24131.55,18.51,112.31,33.67,0,0,"Corvus_ossifragus"
"274",24074.53,18.51,112.31,33.67,0,0,"Corvus_ossifragus"
"275",33969.52,23.87,9.12,23.01,0,1,"Corvus_ruficollis"
"279",2908.95,24.01,34.57,-25.21,0,0,"Cracticus_nigrogularis"
"280",759.64,22.18,30.86,-27.88,0,0,"Cracticus_torquatus"
"288",76.63,23.53,89.11,-4.93,0,0,"Crithagra_mozambica"
"290",93.56,20.42,81.82,-13.82,0,0,"Crithagra_sulphurata"
"298",9421.64,9.24,54.34,44.89,0,0,"Cyanocitta_stelleri"
"303",17266.95,23.52,123.68,-15.53,0,0,"Cyanocorax_cristatellus"
"307",689.44,25.33,186.46,8.5,0,0,"Cyanoloxia_cyanoides"
"309",748.91,8.75,55.67,47.81,0,0,"Cyanopica_cyanus"
"310",990.18,8.75,55.67,47.81,0,0,"Cyanopica_cyanus"
"321",375.42,26.53,81.63,-9.25,1,0,"Dicrurus_aldabranus"
"323",868.94,23.43,127.49,-25.83,0,0,"Dicrurus_bracteatus"
"334",1012.08,22.69,101.59,26.43,0,0,"Dicrurus_macrocercus"
"338",1040.91,25.49,114.48,-12.75,1,0,"Dicrurus_waldenii"
"347",98.22,21.71,77.15,-14.27,0,0,"Dryoscopus_cubla"
"349",751.05,10.5,74.03,43.41,0,0,"Dumetella_carolinensis"
"350",754.78,10.5,74.03,43.41,0,0,"Dumetella_carolinensis"
"352",137.67,22.21,135.07,-17.49,0,0,"Dysithamnus_mentalis"
"353",136.18,23.13,128.68,-27.05,0,0,"Edolisoma_tenuirostre"
"354",120.89,24.33,146.97,-7.31,0,0,"Elaenia_chiriquensis"
"357",132.28,18.93,147.65,5.89,0,0,"Elaenia_frantzii"
"365",41.33,24.93,125.73,1.94,0,0,"Elminia_longicauda"
"367",255.91,12.51,24.7,44.35,0,0,"Emberiza_bruniceps"
"369",493.6,11.88,50.41,45.49,0,0,"Emberiza_calandra"
"370",430.65,11.88,50.41,45.49,0,0,"Emberiza_calandra"
