"","Term","Estimate","StdError","tValue","pValue"
"(Intercept)","(Intercept)",5.88028318370916,0.0405091284106918,145.159459470304,0
"PC1","PC1",0.152820513010292,0.0264101161997264,5.78643849404476,1.19111945804877e-08
"PC2","PC2",-0.483982486044833,0.0383283457493263,-12.6272730164291,2.22396016859413e-32
"PC3","PC3",-0.0440105397361242,0.041895092190569,-1.05049392267554,0.293939394723962
"PC4","PC4",-0.296516215827209,0.0454603755183967,-6.52252016060044,1.53461121336387e-10
